videoId,artists,title,tempo,key,mode,minor_score,bittersweet,key_strength,percussive,energy_rms,dynamics,brightness,rolloff,bandwidth,flatness,zcr,contrast,onset_rate,pulse_clarity,mfcc1,mfcc2,mfcc3,mfcc4,status
4u7kNELI76A,Mild High Club,Homage,73.8,D,minor,0.573,0.854,0.782,0.193,0.1805,0.25,1942.6,3783.4,1986.5,0.0121,0.0963,23.968,2.65,0.819,115.22,-29.14,17.24,-5.45,ok
-ryNfrDCpmI,s0rrow,unhappy,117.5,C#,major,0.448,0.896,0.417,0.29,0.2437,0.291,2484.2,5416.1,2670.6,0.019,0.0994,23.36,4.49,0.879,77.59,5.31,34.48,12.29,ok
4bWbobP6_IU,Oxitt,Got it,99.4,B,minor,0.744,0.512,0.828,0.277,0.1566,0.386,1436.6,3145.9,1492.5,0.0006,0.0696,25.642,3.89,0.79,136.74,-38.12,89.04,1.65,ok
RfjSLd44EqA,SWOX,Nope your too late i already died,117.5,E,minor,0.731,0.538,0.48,0.252,0.2299,0.489,1525.1,3640.6,2060.5,0.0229,0.0469,23.407,3.64,0.934,109.64,9.13,50.87,9.96,ok
Xf9v-Uvabxo,adore,did i tell u that i miss u,112.3,A,major,0.254,0.508,0.682,0.269,0.2978,0.345,1914.2,4452.6,2414.9,0.0078,0.0611,23.468,4.0,0.888,103.59,13.86,24.65,2.91,ok
sOr70cra9Q4,untitled,Restless,172.3,F#,major,0.24,0.48,0.817,0.226,0.1604,0.32,1922.2,3988.5,2170.4,0.0131,0.0819,23.431,1.56,0.819,102.97,-4.72,34.14,14.5,ok
POcZqfP3Ja4,"proderics, melodybloom",strangers,66.3,E,minor,0.657,0.686,0.625,0.418,0.1945,0.531,1642.7,3654.2,2303.0,0.0138,0.0568,21.341,4.15,0.877,116.54,23.18,23.3,6.99,ok
GmcW4dwXW20,mthu,i would end it tonight,80.7,D#,minor,0.567,0.866,0.662,0.288,0.2463,0.21,1536.0,3128.6,2022.7,0.0058,0.0631,23.31,5.23,0.811,131.61,15.03,28.84,1.06,ok
N9kNP7P4vJg,your warm arms,existing,99.4,G#,minor,0.517,0.966,0.79,0.088,0.2052,0.376,677.5,1025.4,1100.3,0.0001,0.029,25.184,3.99,0.834,185.59,9.0,54.13,-3.7,ok
Z397ravQmuQ,h4teboy,Why,95.7,C#,minor,0.709,0.582,0.812,0.28,0.1609,0.372,1544.3,3276.7,1666.4,0.002,0.0735,26.76,3.83,0.747,122.83,-14.41,84.81,-11.96,ok
yomHUNNfAvw,shambles,happier,112.3,F#,minor,0.736,0.528,0.827,0.128,0.1826,0.389,1577.1,3124.9,1845.0,0.0087,0.0692,24.147,4.0,0.756,138.2,-22.64,13.14,8.25,ok
q_FhS7i_qx4,urgxnt,Nope your too late i already died (Slowed),107.7,F,major,0.483,0.966,0.339,0.089,0.2335,0.48,1434.9,3174.2,2135.0,0.0036,0.0342,23.617,3.71,0.891,119.48,4.62,31.19,27.12,ok
Blacp0J3CfQ,Andrew Odom,Is That,136.0,G,minor,0.726,0.548,0.837,0.148,0.2478,0.281,1016.2,2113.3,1148.7,0.0002,0.0497,25.51,2.96,0.657,167.12,-39.1,69.69,32.96,ok
g-Zp8y3_mk8,IRSNa,Je te laisserai des mots (Piano Cover),152.0,D,major,0.497,0.994,0.738,0.048,0.0653,0.782,549.3,823.1,927.1,0.0002,0.0338,24.093,3.63,0.653,167.17,58.18,12.22,7.54,ok
NkzzjHaXfaw,Instupendo,Six Forty Seven,152.0,E,major,0.409,0.818,0.595,0.027,0.0868,0.687,796.2,1406.4,1051.8,0.0019,0.0389,24.923,1.87,0.825,149.9,25.6,32.76,10.55,ok
9AuzJ2GBCGw,Ólafur Järvinen,Debussy: Rêverie,92.3,F,major,0.272,0.544,0.835,0.029,0.0239,0.721,522.1,753.2,433.5,0.0,0.0433,27.096,1.92,0.635,167.52,52.68,2.06,-3.88,ok
nQJZq8_X-kM,Daniela Mlčúchová,Golden Hour (piano cover),57.4,G#,minor,0.676,0.648,0.675,0.049,0.0642,0.446,865.4,1482.0,983.6,0.0002,0.0615,25.798,1.85,0.828,191.91,-4.83,17.13,0.7,ok
lw-XGkNGLCM,Joshua Kyan Aalampour,The Forsaken Waltz,143.6,B,minor,0.649,0.702,0.791,0.07,0.0871,0.399,891.2,1576.5,913.8,0.0002,0.0578,25.828,3.14,0.645,205.01,-26.36,11.85,-2.07,ok
3oeQleJ77fU,ROAR,Christmas Kids,76.0,D,major,0.236,0.472,0.881,0.176,0.206,0.298,2282.0,4463.2,2275.0,0.0198,0.1183,23.046,2.65,0.831,90.55,-20.21,33.85,6.16,ok
HydkjjDNTmY,The Long Faces,Jane!,143.6,C#,minor,0.653,0.694,0.523,0.262,0.1198,0.241,2371.5,4807.9,2454.6,0.0185,0.1103,23.452,3.82,0.728,83.42,-7.88,41.97,11.96,ok
-Gnedsk9Ers,softsync,beanie (instrumental slowed & reverb with rain),107.7,C,major,0.29,0.58,0.703,0.056,0.2272,0.309,1666.9,3898.7,2417.7,0.0061,0.0377,22.096,1.82,0.904,102.68,23.93,36.83,16.98,ok
v3kHI_lgaCo,Teesa,Waltz of Cecilia,184.6,A,major,0.459,0.918,0.817,0.029,0.0567,0.431,445.2,685.2,438.0,0.0,0.0352,25.094,3.29,0.615,210.37,71.11,1.75,-5.3,ok
GwSSrwryxN0,Sidney Gish,Impostor Syndrome,117.5,E,minor,0.521,0.958,0.659,0.406,0.1416,0.383,2199.8,4364.9,2276.0,0.016,0.096,23.761,3.64,0.758,97.47,-4.47,32.52,6.88,ok
UnuEzP1rDLY,Dominic Fike,Babydoll,83.4,C,major,0.203,0.406,0.673,0.282,0.2585,0.375,2408.2,5330.0,2622.0,0.023,0.0913,22.554,3.91,0.728,84.95,9.65,26.14,5.93,ok
ii79JEPP6Wc,Damien Gauci,Mice On Venus,103.4,C,major,0.165,0.33,0.878,0.095,0.0332,0.788,444.6,696.6,568.9,0.0,0.0346,25.728,1.18,0.596,161.61,72.42,16.0,-1.23,ok
uY95HXiHqkk,Penguin Piano,Вечера (Vechera),129.2,E,minor,0.848,0.304,0.836,0.021,0.1251,0.4,518.0,751.2,547.1,0.0,0.0424,25.504,2.94,0.609,234.15,40.02,-7.46,3.27,ok
znfYwABeSZ0,Yann Tiersen,"Comptine d'un autre été, l'après-midi",198.8,D,major,0.456,0.912,0.859,0.031,0.0965,0.535,781.8,1347.3,850.5,0.0039,0.0516,26.785,3.93,0.626,185.05,1.98,-6.64,10.1,ok
PiCa76Ch5O8,Juan Arenosa,Cordelia,184.6,G,minor,0.777,0.446,0.875,0.048,0.1121,0.6,802.9,1365.1,964.8,0.001,0.0487,27.393,4.23,0.634,185.62,5.9,-4.3,-8.29,ok
dYk3QrSzHAA,Juan Arenosa,Cordelia,184.6,G,minor,0.776,0.448,0.877,0.048,0.112,0.601,801.3,1362.8,961.4,0.0014,0.0486,27.343,4.21,0.636,185.55,5.98,-4.32,-8.21,ok
XZfyyk0_Yqs,Patrick Watson,Je te laisserai des mots,129.2,D,major,0.399,0.798,0.885,0.064,0.1164,0.506,905.8,1547.8,1201.2,0.0013,0.0466,24.219,2.25,0.831,184.02,2.41,12.59,0.79,ok
e6Po2lDHD1I,Andrea Vanzo,"Amélie - Comptine d’un autre été, l’après-midi (reimagined)",129.2,E,minor,0.649,0.702,0.912,0.037,0.0537,0.52,714.7,1035.3,840.1,0.0001,0.0585,25.944,4.42,0.577,190.49,24.2,-2.76,1.47,ok
yAW3xEnDTqk,liana flores,"recently,",143.6,G,major,0.358,0.716,0.67,0.125,0.0818,0.427,1526.5,3020.0,1825.4,0.0025,0.065,26.034,3.95,0.69,118.37,0.85,47.9,2.4,ok
1viymmZUNjU,Sapiyano,Je te laisserai des mots,143.6,C,major,0.201,0.402,0.96,0.03,0.082,0.48,500.3,787.6,445.8,0.0,0.0368,25.777,3.05,0.687,209.36,40.44,-6.14,6.87,ok
